Name           Surname                       ND1       ND2       ND3            ND4            ND5            FINAL  
Name5519            Surname5519         8              2              6              4              10             3              
Name5585            Surname5585         6              3              8              3              10             3              
Name5613            Surname5613         5              10             6              2              7              3              
Name5641            Surname5641         6              8              9              4              3              3              
Name5853            Surname5853         3              6              7              4              10             3              
Name5961            Surname5961         7              6              4              10             3              3              
Name5971            Surname5971         10             5              5              1              9              3              
Name5975            Surname5975         10             6              2              8              4              3              
Name6201            Surname6201         2              7              10             8              3              3              
Name6663            Surname6663         2              10             8              8              2              3              
Name6700            Surname6700         9              7              4              4              6              3              
Name6747            Surname6747         6              5              2              10             7              3              
Name7013            Surname7013         8              3              5              6              8              3              
Name7054            Surname7054         2              6              8              6              8              3              
Name7142            Surname7142         5              9              2              9              5              3              
Name7331            Surname7331         10             2              6              9              3              3              
Name7358            Surname7358         9              6              10             3              2              3              
Name7377            Surname7377         7              10             3              2              8              3              
Name7687            Surname7687         7              8              3              4              8              3              
Name7698            Surname7698         9              6              4              5              6              3              
Name7729            Surname7729         4              8              5              5              8              3              
Name7889            Surname7889         6              9              1              5              9              3              
Name7937            Surname7937         1              7              6              8              8              3              
Name8214            Surname8214         4              7              2              7              10             3              
Name8245            Surname8245         7              4              3              8              8              3              
Name8281            Surname8281         5              9              9              6              1              3              
Name8499            Surname8499         5              7              9              7              2              3              
Name8601            Surname8601         2              10             2              6              10             3              
Name8959            Surname8959         10             8              3              1              8              3              
Name9278            Surname9278         3              7              5              5              10             3              
Name9351            Surname9351         10             4              6              2              8              3              
Name9626            Surname9626         4              10             7              5              4              3              
Name9778            Surname9778         6              6              7              10             1              3              
Name9914            Surname9914         9              7              1              8              5              3              
Name9970            Surname9970         3              8              4              7              8              3              
Name1270            Surname1270         1              9              1              9              3              3.04           
Name1620            Surname1620         9              4              1              3              6              3.04           
Name1725            Surname1725         4              5              4              4              6              3.04           
Name1828            Surname1828         7              3              7              5              1              3.04           
Name1858            Surname1858         5              3              3              5              7              3.04           
Name1899            Surname1899         1              1              5              9              7              3.04           
Name2385            Surname2385         4              4              4              2              9              3.04           
Name2438            Surname2438         10             4              4              2              3              3.04           
Name2635            Surname2635         5              9              4              2              3              3.04           
Name2651            Surname2651         5              4              1              6              7              3.04           
Name2724            Surname2724         5              4              8              2              4              3.04           
Name2758            Surname2758         3              8              6              5              1              3.04           
Name2893            Surname2893         5              1              4              10             3              3.04           
Name2926            Surname2926         3              2              9              2              7              3.04           
Name3669            Surname3669         6              8              4              4              1              3.04           
Name4027            Surname4027         3              9              9              1              1              3.04           
Name4183            Surname4183         1              6              10             2              4              3.04           
Name4350            Surname4350         7              2              3              7              4              3.04           
Name4405            Surname4405         2              8              5              2              6              3.04           
Name4965            Surname4965         4              7              1              3              8              3.04           
Name4985            Surname4985         6              3              5              4              5              3.04           
Name5403            Surname5403         3              4              3              6              7              3.04           
Name5602            Surname5602         1              10             3              6              3              3.04           
Name6120            Surname6120         9              1              3              8              2              3.04           
Name6179            Surname6179         9              4              5              4              1              3.04           
Name6588            Surname6588         7              4              3              4              5              3.04           
Name6687            Surname6687         1              7              1              4              10             3.04           
Name6717            Surname6717         7              5              5              3              3              3.04           
Name6744            Surname6744         8              9              3              2              1              3.04           
Name6774            Surname6774         4              1              5              8              5              3.04           
Name6914            Surname6914         8              5              6              1              3              3.04           
Name6921            Surname6921         3              7              4              2              7              3.04           
Name7081            Surname7081         5              4              4              3              7              3.04           
Name7132            Surname7132         10             2              5              1              5              3.04           
Name7360            Surname7360         10             3              5              4              1              3.04           
Name7369            Surname7369         7              8              2              2              4              3.04           
Name7452            Surname7452         4              6              2              8              3              3.04           
Name8074            Surname8074         6              5              1              10             1              3.04           
Name8265            Surname8265         2              8              1              6              6              3.04           
Name8298            Surname8298         2              1              10             2              8              3.04           
Name8393            Surname8393         2              3              8              6              4              3.04           
Name8883            Surname8883         4              8              1              7              3              3.04           
Name9252            Surname9252         10             7              2              2              2              3.04           
Name9520            Surname9520         5              7              3              6              2              3.04           
Name4011            Surname4011         2              3              3              7              1              3.08           
Name4550            Surname4550         2              3              8              2              1              3.08           
Name6868            Surname6868         2              7              1              1              5              3.08           
Name7156            Surname7156         1              3              1              7              4              3.08           
Name7967            Surname7967         2              4              2              7              1              3.08           
Name8836            Surname8836         2              10             1              1              2              3.08           
Name9509            Surname9509         2              10             1              1              2              3.08           
Name1263            Surname1263         9              6              7              7              2              3.08           
Name1300            Surname1300         3              9              9              5              5              3.08           
Name1480            Surname1480         7              1              9              7              7              3.08           
Name1578            Surname1578         3              10             3              5              10             3.08           
Name1589            Surname1589         3              6              9              6              7              3.08           
Name1732            Surname1732         4              6              7              10             4              3.08           
Name1900            Surname1900         3              7              7              4              10             3.08           
Name1975            Surname1975         10             6              6              6              3              3.08           
Name2124            Surname2124         10             4              2              6              9              3.08           
Name2240            Surname2240         2              6              5              8              10             3.08           
Name2288            Surname2288         2              7              5              10             7              3.08           
Name2619            Surname2619         7              2              5              9              8              3.08           
Name2953            Surname2953         8              9              5              6              3              3.08           
Name3015            Surname3015         6              10             4              8              3              3.08           
Name3192            Surname3192         5              9              6              8              3              3.08           
Name3437            Surname3437         4              9              1              8              9              3.08           
Name3662            Surname3662         5              3              6              9              8              3.08           
Name4000            Surname4000         8              10             1              3              9              3.08           
Name4385            Surname4385         7              5              10             6              3              3.08           
Name4551            Surname4551         8              8              5              2              8              3.08           
Name5134            Surname5134         4              8              7              9              3              3.08           
Name5365            Surname5365         5              10             7              2              7              3.08           
Name5722            Surname5722         9              9              2              2              9              3.08           
Name6084            Surname6084         3              7              6              8              7              3.08           
Name6619            Surname6619         2              7              9              8              5              3.08           
Name6655            Surname6655         6              7              1              8              9              3.08           
Name6989            Surname6989         9              6              5              4              7              3.08           
Name7055            Surname7055         5              2              8              10             6              3.08           
Name7352            Surname7352         1              9              9              3              9              3.08           
Name7494            Surname7494         4              8              2              8              9              3.08           
Name7544            Surname7544         1              3              9              8              10             3.08           
Name7673            Surname7673         8              4              4              5              10             3.08           
Name8119            Surname8119         1              9              6              7              8              3.08           
Name8317            Surname8317         4              9              2              10             6              3.08           
Name8860            Surname8860         2              6              9              7              7              3.08           
Name9049            Surname9049         7              5              8              6              5              3.08           
Name9091            Surname9091         10             1              10             7              3              3.08           
Name9107            Surname9107         7              3              3              8              10             3.08           
Name9164            Surname9164         2              9              6              7              7              3.08           
Name9182            Surname9182         1              8              10             8              4              3.08           
Name9235            Surname9235         6              3              3              9              10             3.08           
Name9407            Surname9407         6              10             5              5              5              3.08           
Name9453            Surname9453         3              9              6              8              5              3.08           
Name9831            Surname9831         9              7              5              3              7              3.08           
Name1071            Surname1071         5              4              6              8              1              3.12           
Name1081            Surname1081         1              9              9              1              4              3.12           
Name1110            Surname1110         3              5              10             3              3              3.12           
Name1313            Surname1313         2              7              7              5              3              3.12           
Name1618            Surname1618         2              8              8              1              5              3.12           
Name1735            Surname1735         4              1              8              6              5              3.12           
Name1750            Surname1750         2              1              8              7              6              3.12           
Name2400            Surname2400         5              3              5              6              5              3.12           
Name2818            Surname2818         6              4              2              3              9              3.12           
Name3707            Surname3707         7              2              8              4              3              3.12           
Name3709            Surname3709         1              1              8              7              7              3.12           
Name3793            Surname3793         4              2              6              5              7              3.12           
Name3858            Surname3858         2              5              1              9              7              3.12           
Name4132            Surname4132         5              2              5              9              3              3.12           
Name4401            Surname4401         9              5              1              3              6              3.12           
Name4693            Surname4693         4              2              5              8              5              3.12           
Name4725            Surname4725         3              6              8              3              4              3.12           
Name4748            Surname4748         2              5              9              3              5              3.12           
Name5140            Surname5140         4              3              9              4              4              3.12           
Name5320            Surname5320         3              2              5              8              6              3.12           
Name5619            Surname5619         7              4              4              1              8              3.12           
Name5649            Surname5649         7              10             2              4              1              3.12           
Name5955            Surname5955         3              3              1              8              9              3.12           
Name6037            Surname6037         7              6              2              3              6              3.12           
Name6173            Surname6173         4              8              8              1              3              3.12           
Name6204            Surname6204         3              6              6              2              7              3.12           
Name6601            Surname6601         5              4              4              7              4              3.12           
Name6721            Surname6721         3              5              10             5              1              3.12           
Name6911            Surname6911         7              8              4              3              2              3.12           
Name6926            Surname6926         1              7              3              9              4              3.12           
Name6939            Surname6939         2              4              6              4              8              3.12           
Name7118            Surname7118         10             2              1              3              8              3.12           
Name7203            Surname7203         1              3              7              9              4              3.12           
Name7267            Surname7267         5              5              8              2              4              3.12           
Name7412            Surname7412         1              7              4              6              6              3.12           
Name7607            Surname7607         8              3              2              6              5              3.12           
Name7664            Surname7664         7              4              1              3              9              3.12           
Name7707            Surname7707         10             3              5              3              3              3.12           
Name7728            Surname7728         10             7              2              2              3              3.12           
Name7751            Surname7751         5              2              10             2              5              3.12           
Name7756            Surname7756         1              8              1              7              7              3.12           
Name7908            Surname7908         3              6              4              2              9              3.12           
Name8344            Surname8344         6              10             1              2              5              3.12           
Name8512            Surname8512         5              2              7              4              6              3.12           
Name8766            Surname8766         8              2              5              2              7              3.12           
Name8841            Surname8841         3              1              9              9              2              3.12           
Name8939            Surname8939         4              1              5              6              8              3.12           
Name9256            Surname9256         7              3              3              5              6              3.12           
Name9375            Surname9375         1              1              7              8              7              3.12           
Name9443            Surname9443         5              2              4              8              5              3.12           
Name9987            Surname9987         4              1              8              5              6              3.12           
Name1000            Surname1000         4              2              5              4              2              3.16           
Name2055            Surname2055         5              1              1              5              5              3.16           
Name2077            Surname2077         1              6              3              3              4              3.16           
Name3718            Surname3718         1              9              3              1              3              3.16           
Name4074            Surname4074         6              2              2              6              1              3.16           
Name4911            Surname4911         3              9              2              2              1              3.16           
Name6053            Surname6053         2              3              2              8              2              3.16           
Name6878            Surname6878         6              2              5              3              1              3.16           
Name7641            Surname7641         10             3              1              2              1              3.16           
Name8045            Surname8045         9              3              2              1              2              3.16           
Name8326            Surname8326         4              1              5              3              4              3.16           
Name9497            Surname9497         1              3              2              8              3              3.16           
Name9809            Surname9809         2              3              5              5              2              3.16           
Name9962            Surname9962         2              1              6              7              1              3.16           
Name1201            Surname1201         6              10             5              3              8              3.16           
Name1272            Surname1272         10             5              2              6              9              3.16           
Name1596            Surname1596         9              10             8              3              2              3.16           
Name1653            Surname1653         10             7              5              5              5              3.16           
Name2041            Surname2041         2              10             6              7              7              3.16           
Name2324            Surname2324         6              1              10             10             5              3.16           
Name2427            Surname2427         5              10             4              7              6              3.16           
Name3548            Surname3548         10             9              4              8              1              3.16           
Name3786            Surname3786         8              9              4              7              4              3.16           
Name3933            Surname3933         10             4              8              7              3              3.16           
Name3942            Surname3942         2              6              8              6              10             3.16           
Name3971            Surname3971         8              7              10             4              3              3.16           
Name4034            Surname4034         9              3              9              1              10             3.16           
Name4283            Surname4283         9              3              5              8              7              3.16           
Name4391            Surname4391         10             8              3              2              9              3.16           
Name4754            Surname4754         5              10             7              6              4              3.16           
Name5074            Surname5074         1              6              7              9              9              3.16           
Name5360            Surname5360         7              4              9              4              8              3.16           
Name5607            Surname5607         1              6              7              8              10             3.16           
Name5623            Surname5623         2              8              9              10             3              3.16           
Name5779            Surname5779         7              4              9              5              7              3.16           
Name5891            Surname5891         9              6              9              3              5              3.16           
Name6897            Surname6897         5              10             6              3              8              3.16           
Name6938            Surname6938         9              2              10             4              7              3.16           
Name7080            Surname7080         9              2              9              3              9              3.16           
Name7323            Surname7323         4              6              9              6              7              3.16           
Name7407            Surname7407         10             3              9              5              5              3.16           
Name7432            Surname7432         5              8              7              2              10             3.16           
Name7545            Surname7545         1              3              10             10             8              3.16           
Name7683            Surname7683         8              9              8              2              5              3.16           
Name8110            Surname8110         8              8              7              8              1              3.16           
Name8142            Surname8142         2              9              6              7              8              3.16           
Name8749            Surname8749         10             5              4              5              8              3.16           
Name8858            Surname8858         8              8              9              3              4              3.16           
Name9445            Surname9445         9              10             1              10             2              3.16           
Name9723            Surname9723         1              10             9              4              8              3.16           
Name9990            Surname9990         5              9              9              8              1              3.16           
Name1230            Surname1230         4              4              3              5              9              3.2            
Name1796            Surname1796         3              3              7              10             2              3.2            
Name1910            Surname1910         2              8              8              6              1              3.2            
Name2022            Surname2022         8              4              9              2              2              3.2            
Name2084            Surname2084         4              3              8              5              5              3.2            
Name2161            Surname2161         3              3              6              10             3              3.2            
Name2342            Surname2342         8              10             3              3              1              3.2            
Name2874            Surname2874         2              3              8              2              10             3.2            
Name2921            Surname2921         2              6              7              5              5              3.2            
Name3051            Surname3051         1              9              1              10             4              3.2            
Name3097            Surname3097         8              3              5              5              4              3.2            
Name3130            Surname3130         6              5              4              8              2              3.2            
Name3132            Surname3132         7              1              8              2              7              3.2            
Name3177            Surname3177         7              6              1              5              6              3.2            
Name3190            Surname3190         3              4              8              8              2              3.2            
Name3383            Surname3383         3              7              10             1              4              3.2            
Name3550            Surname3550         6              9              2              2              6              3.2            
Name3837            Surname3837         5              6              7              5              2              3.2            
Name4115            Surname4115         6              3              9              4              3              3.2            
Name4426            Surname4426         5              2              10             1              7              3.2            
Name4663            Surname4663         3              1              1              4              1              3.2            
Name4685            Surname4685         8              5              1              3              8              3.2            
Name4933            Surname4933         4              8              4              5              4              3.2            
Name5207            Surname5207         6              4              3              10             2              3.2            
Name5209            Surname5209         1              3              4              8              9              3.2            
Name5224            Surname5224         8              6              2              5              4              3.2            
Name5310            Surname5310         6              4              3              10             2              3.2            
Name5400            Surname5400         9              3              2              4              7              3.2            
Name5443            Surname5443         4              3              6              10             2              3.2            
Name5524            Surname5524         4              9              5              2              5              3.2            
Name5595            Surname5595         2              8              4              9              2              3.2            
Name5618            Surname5618         5              7              10             2              1              3.2            
Name5861            Surname5861         10             3              8              1              3              3.2            
Name5953            Surname5953         9              4              1              4              7              3.2            
Name5966            Surname5966         5              6              3              7              4              3.2            
Name6001            Surname6001         6              2              1              8              8              3.2            
Name6056            Surname6056         6              3              1              6              9              3.2            
Name6060            Surname6060         1              5              1              1              2              3.2            
Name6126            Surname6126         4              9              2              4              6              3.2            
Name6378            Surname6378         7              7              1              2              8              3.2            
Name6380            Surname6380         5              1              6              9              4              3.2            
Name6694            Surname6694         5              4              1              6              9              3.2            
Name6695            Surname6695         9              8              5              2              1              3.2            
Name6823            Surname6823         6              8              3              7              1              3.2            
Name6905            Surname6905         3              8              1              5              8              3.2            
Name7006            Surname7006         9              6              4              2              4              3.2            
Name7638            Surname7638         6              5              6              4              4              3.2            
Name7675            Surname7675         2              7              4              10             2              3.2            
Name7985            Surname7985         4              8              9              1              3              3.2            
Name7989            Surname7989         2              9              6              3              5              3.2            
Name8536            Surname8536         7              4              6              2              6              3.2            
Name8747            Surname8747         8              1              9              6              1              3.2            
Name8768            Surname8768         4              10             2              5              4              3.2            
Name8818            Surname8818         8              9              1              3              4              3.2            
Name9263            Surname9263         1              8              6              4              6              3.2            
Name9878            Surname9878         9              3              3              2              8              3.2            
Name9985            Surname9985         3              6              4              5              7              3.2            
Name1083            Surname1083         10             9              3              10             1              3.24           
Name1119            Surname1119         3              6              1              2              6              3.24           
Name1144            Surname1144         3              2              5              4              4              3.24           
Name1286            Surname1286         8              9              9              1              6              3.24           
Name1484            Surname1484         6              7              1              9              10             3.24           
Name1639            Surname1639         8              10             4              5              6              3.24           
Name1790            Surname1790         5              8              10             1              9              3.24           
Name1857            Surname1857         9              7              8              6              3              3.24           
Name2134            Surname2134         6              8              1              2              1              3.24           
Name2272            Surname2272         10             5              2              10             6              3.24           
Name2572            Surname2572         4              1              4              3              6              3.24           
Name2595            Surname2595         1              9              9              7              7              3.24           
Name2685            Surname2685         7              1              3              3              4              3.24           
Name2791            Surname2791         8              4              2              2              2              3.24           
Name3374            Surname3374         4              3              2              1              8              3.24           
Name3412            Surname3412         4              6              9              7              7              3.24           
Name3458            Surname3458         10             7              8              6              2              3.24           
Name3795            Surname3795         6              5              8              4              10             3.24           
Name4129            Surname4129         7              6              5              9              6              3.24           
Name4154            Surname4154         7              7              8              2              9              3.24           
Name4438            Surname4438         7              10             10             3              3              3.24           
Name4441            Surname4441         6              10             2              5              10             3.24           
Name4922            Surname4922         5              5              6              1              1              3.24           
Name5300            Surname5300         1              4              2              3              8              3.24           
Name5575            Surname5575         7              10             6              2              8              3.24           
Name5598            Surname5598         3              6              10             8              6              3.24           
Name5736            Surname5736         9              4              9              2              9              3.24           
Name5996            Surname5996         8              8              6              3              8              3.24           
Name6368            Surname6368         7              8              2              9              7              3.24           
Name6750            Surname6750         4              6              7              6              10             3.24           
Name6818            Surname6818         10             2              6              7              8              3.24           
Name7127            Surname7127         8              2              4              10             9              3.24           
Name7335            Surname7335         8              2              7              6              10             3.24           
Name7551            Surname7551         1              8              5              9              10             3.24           
Name7765            Surname7765         4              7              10             6              6              3.24           
Name7927            Surname7927         4              8              9              10             2              3.24           
Name8083            Surname8083         5              10             6              5              7              3.24           
Name8234            Surname8234         8              8              6              9              2              3.24           
Name8381            Surname8381         8              9              1              7              8              3.24           
Name8609            Surname8609         9              10             4              3              7              3.24           
Name8671            Surname8671         3              10             2              1              2              3.24           
Name8921            Surname8921         1              1              5              1              10             3.24           
Name9133            Surname9133         4              6              4              3              1              3.24           
Name9927            Surname9927         1              10             1              2              4              3.24           
Name1092            Surname1092         1              7              2              10             6              3.28           
Name1247            Surname1247         10             4              3              4              5              3.28           
Name1282            Surname1282         1              5              9              2              9              3.28           
Name1328            Surname1328         2              9              9              5              1              3.28           
Name1420            Surname1420         8              2              3              4              9              3.28           
Name1486            Surname1486         5              7              5              3              6              3.28           
Name1517            Surname1517         9              2              4              7              4              3.28           
Name1903            Surname1903         2              8              9              2              5              3.28           
Name2101            Surname2101         3              10             2              1              10             3.28           
Name2264            Surname2264         6              3              4              9              4              3.28           
Name2285            Surname2285         9              3              3              8              3              3.28           
